Name,Market Cap,Alpha,Beta,5Y CAGR,D/E,EPS (Q),SCORE,Capability,b,c,d,e,f,g
3MINDIA,"30,637.05",7.52,0.57,3.7,0.01,139.5,22,M,2,5,4,1,5,5
DEEPAKNTR,"30,528.17",-3.32,1.33,39.24,0.06,14.24,21,M,2,1,3,5,5,5
LICHSGFIN,"30,322.22",4.01,1.22,5.37,8.02,26.09,17,R,2,4,3,2,1,5
MEDANTA,"30,306.06",43.08,-,-,0.09,5.32,23,M,2,5,1,5,5,5
TATATECH,"29,934.28",-,-,-,0.08,4.16,22,M,2,5,1,5,5,4
KPRMILL,"29,917.27",10.2,1.19,47.47,0.27,5.92,25,M,2,5,3,5,5,5
IRB,"29,874.93",12.45,1.54,36.17,1.36,9.98,22,M,2,5,2,5,3,5
ABFRL,"29,395.52",-9.08,0.92,-0.98,2,-1.81,12,HR,2,1,4,1,3,1
MCX,"28,561.06",42.13,0.4,34.8,0,31.38,27,S,2,5,5,5,5,5
SUVENPHAR,"28,512.55",22.33,1.7,-,0.03,3.26,23,M,2,5,2,5,5,4
RADICO,"28,435.78",22.1,0.85,37.34,0.34,7.14,26,S,2,5,4,5,5,5
CHOLAHLDNG,"28,394.77",24.83,1.56,22.67,6.06,25.89,20,R,2,5,2,5,1,5
SYNGENE,"28,187.38",3.34,1.02,17.67,0.13,3.27,22,M,2,4,3,4,5,4
NLCINDIA,"27,853.37",32.68,1.21,30.36,1.16,5.02,23,M,2,5,3,5,3,5
GODREJIND,"27,778.68",11.11,0.77,13.64,1.92,5.59,22,M,2,5,4,3,3,5
GUJGASLTD,"27,731.80",-19.58,0.95,6.26,0.02,3.21,18,R,2,1,4,2,5,4
GODIGIT,"27,409.11",-,-,-,0.13,1.29,21,M,2,5,1,5,5,3
ITI,"27,322.82",37.1,0.94,27.97,1.01,-0.51,20,R,2,5,4,5,3,1
APARINDS,"27,099.15",81.55,0.62,76.88,0.12,43.55,26,S,2,5,4,5,5,5
ISEC,"27,033.18",-0.77,1.3,11.68,4.34,15.53,16,HR,2,2,3,3,1,5
TATAINVEST,"27,007.52",47.62,0.83,41.07,0,3.88,25,M,2,5,4,5,5,4
NH,"26,991.97",22.79,0.8,30.73,0.56,9.78,25,M,2,5,4,5,4,5
ENDURANCE,"26,922.87",7.9,1.12,12.2,0.15,13.11,23,M,2,5,3,3,5,5
IGL,"26,741.43",-3.22,0.8,-5.08,0.01,2.33,16,HR,2,1,4,1,5,3
NIACL,"26,723.97",6.94,0.73,2.69,0,2.12,20,R,2,5,4,1,5,3
APOLLOTYRE,"26,718.70",15.08,1.44,21.14,0.35,5.31,25,M,2,5,3,5,5,5
KAYNES,"26,488.62",78.35,-,-,0.13,10.39,23,M,2,5,1,5,5,5
PPLPHARMA,"26,482.37",8.93,-,-,0.6,0.03,19,R,2,5,1,5,4,2
JBCHEPHARM,"26,199.44",23.56,0.24,41.96,0.13,10.46,27,S,2,5,5,5,5,5
GILLETTE,"25,923.82",13.3,0.24,4.59,0,38.66,23,M,2,5,5,1,5,5
GODFRYPHLP,"25,909.14",52.21,0.52,29.52,0.08,47.92,26,S,2,5,4,5,5,5
AEGISLOG,"25,859.93",43.1,1.17,26.41,0.6,3.54,23,M,2,5,3,5,4,4
CDSL,"25,644.30",10.37,0.83,53.83,0,6.23,26,S,2,5,4,5,5,5
BRIGADE,"25,077.72",16.84,1.36,34.91,1.54,9.98,23,M,2,5,3,5,3,5
FSL,"24,938.65",29.59,1.52,53.57,0.41,2.33,22,M,2,5,2,5,5,3
GLAND,"24,319.83",-22,0.71,-,0.04,12.42,22,M,2,1,4,5,5,5
JYOTICNC,"24,225.11",-,-,-,0.22,3.53,22,M,2,5,1,5,5,4
SUMICHEM,"24,143.68",6.22,0.79,12.86,0.01,1.74,22,M,2,5,4,3,5,3
KIMS,"23,672.22",26.31,0.46,-,0.65,2.22,24,M,2,5,5,5,4,3
SUNTV,"23,562.32",1.3,1.06,3.68,0,9.22,19,R,2,3,3,1,5,5
EMAMILTD,"23,555.72",1.33,1.05,13.55,0.04,6.39,21,M,2,3,3,3,5,5
STARHEALTH,"23,339.68",-20.98,-,-,0.07,3.66,18,R,2,1,1,5,5,4
ABREL,"23,207.90",24.62,1.19,28.69,0.61,-3.64,20,R,2,5,3,5,4,1
NBCC,"23,152.50",33.15,1.62,32.2,0,0.51,21,M,2,5,2,5,5,2
POONAWALLA,"23,087.40",0.91,2.33,40.3,1.86,0.24,16,HR,2,3,1,5,3,2
INOXWIND,"22,972.85",58.13,1.87,79.95,1.48,0.89,19,R,2,5,2,5,3,2
